Iteration; Theta1; Theta2; Alpha; Input 00 Output 0 Frequency; Input 00 Output 1 Frequency; Input 01 Output 0 Frequency; Input 01 Output 1 Frequency; Input 10 Output 0 Frequency; Input 10 Output 1 Frequency; Input 11 Output 0 Frequency; Input 11 Output 1 Frequency; Error
104; -0.9483472311254912; -3.141592653589793; -2.8450416933764746; 734; 290; 300; 724; 104; 920; 920; 104; 0.19482421875
105; -0.9483472311254912; -3.141592653589793; -0.6517962709121727; 681; 343; 359; 665; 363; 661; 657; 367; 0.349609375
106; -0.9483472311254912; -3.141592653589793; 1.5414491515521291; 357; 667; 700; 324; 611; 413; 432; 592; 0.62744140625
107; -0.9483472311254912; -3.141592653589793; -2.548490733163156; 307; 717; 705; 319; 435; 589; 610; 414; 0.554443359375
108; -0.9483472311254912; -3.141592653589793; -0.3552453106988538; 608; 416; 403; 621; 101; 923; 903; 121; 0.254150390625
109; -0.9483472311254912; -3.141592653589793; 1.8380001117654476; 775; 249; 271; 753; 187; 837; 836; 188; 0.218505859375
110; -0.9483472311254912; -3.141592653589793; -2.2519397729498363; 549; 475; 509; 515; 523; 501; 515; 509; 0.4921875
111; -0.9483472311254912; -0.9483472311254912; -3.141592653589793; 535; 489; 836; 188; 526; 498; 255; 769; 0.6396484375
112; -0.9483472311254912; -0.9483472311254912; -0.9483472311254912; 269; 755; 890; 134; 565; 459; 441; 583; 0.681884765625
113; -0.9483472311254912; -0.9483472311254912; 1.2448981913388106; 430; 594; 577; 447; 270; 754; 736; 288; 0.422119140625
114; -0.9483472311254912; -0.9483472311254912; -2.8450416933764746; 715; 309; 426; 598; 94; 930; 670; 354; 0.288818359375
115; -0.9483472311254912; -0.9483472311254912; -0.6517962709121727; 675; 349; 677; 347; 358; 666; 332; 692; 0.5068359375
116; -0.9483472311254912; -0.9483472311254912; 1.5414491515521291; 369; 655; 947; 77; 611; 413; 284; 740; 0.720947265625
117; -0.9483472311254912; -0.9483472311254912; -2.548490733163156; 271; 753; 736; 288; 414; 610; 607; 417; 0.56640625
118; -0.9483472311254912; -0.9483472311254912; -0.3552453106988538; 614; 410; 468; 556; 138; 886; 771; 253; 0.309814453125
119; -0.9483472311254912; -0.9483472311254912; 1.8380001117654476; 763; 261; 519; 505; 184; 840; 503; 521; 0.362548828125
120; -0.9483472311254912; -0.9483472311254912; -2.2519397729498363; 501; 523; 824; 200; 523; 501; 258; 766; 0.6435546875
121; -0.9483472311254912; 1.2448981913388106; -3.141592653589793; 515; 509; 1017; 7; 516; 508; 118; 906; 0.7197265625
122; -0.9483472311254912; 1.2448981913388106; -0.9483472311254912; 270; 754; 837; 187; 564; 460; 430; 594; 0.671142578125
123; -0.9483472311254912; 1.2448981913388106; 1.2448981913388106; 417; 607; 529; 495; 253; 771; 614; 410; 0.439208984375
124; -0.9483472311254912; 1.2448981913388106; -2.8450416933764746; 725; 299; 583; 441; 93; 931; 353; 671; 0.40185546875
125; -0.9483472311254912; 1.2448981913388106; -0.6517962709121727; 677; 347; 939; 85; 336; 688; 103; 921; 0.620849609375
126; -0.9483472311254912; 1.2448981913388106; 1.5414491515521291; 345; 679; 986; 38; 602; 422; 261; 763; 0.73974609375
127; -0.9483472311254912; 1.2448981913388106; -2.548490733163156; 297; 727; 667; 357; 454; 570; 595; 429; 0.555908203125
128; -0.9483472311254912; 1.2448981913388106; -0.3552453106988538; 585; 439; 523; 501; 103; 921; 524; 500; 0.382080078125
129; -0.9483472311254912; 1.2448981913388106; 1.8380001117654476; 789; 235; 785; 239; 185; 839; 191; 833; 0.49755859375
130; -0.9483472311254912; 1.2448981913388106; -2.2519397729498363; 503; 521; 1017; 7; 508; 516; 106; 918; 0.7236328125
131; -0.9483472311254912; -2.8450416933764746; -3.141592653589793; 536; 488; 953; 71; 519; 505; 162; 862; 0.68896484375
132; -0.9483472311254912; -2.8450416933764746; -0.9483472311254912; 258; 766; 645; 379; 572; 452; 488; 536; 0.614990234375
133; -0.9483472311254912; -2.8450416933764746; 1.2448981913388106; 444; 580; 471; 553; 243; 781; 436; 588; 0.45947265625
134; -0.9483472311254912; -2.8450416933764746; -2.8450416933764746; 741; 283; 731; 293; 90; 934; 89; 935; 0.497802734375
135; -0.9483472311254912; -2.8450416933764746; -0.6517962709121727; 656; 368; 990; 34; 367; 657; 30; 994; 0.663818359375
136; -0.9483472311254912; -2.8450416933764746; 1.5414491515521291; 366; 658; 835; 189; 593; 431; 345; 679; 0.675048828125
137; -0.9483472311254912; -2.8450416933764746; -2.548490733163156; 296; 728; 501; 523; 444; 580; 557; 467; 0.5224609375
138; -0.9483472311254912; -2.8450416933764746; -0.3552453106988538; 599; 425; 576; 448; 135; 889; 257; 767; 0.464599609375
139; -0.9483472311254912; -2.8450416933764746; 1.8380001117654476; 795; 229; 910; 114; 180; 844; 8; 1016; 0.570068359375
140; -0.9483472311254912; -2.8450416933764746; -2.2519397729498363; 495; 529; 947; 77; 511; 513; 162; 862; 0.695556640625
141; -0.9483472311254912; -0.6517962709121727; -3.141592653589793; 489; 535; 695; 329; 497; 527; 376; 648; 0.579833984375
142; -0.9483472311254912; -0.6517962709121727; -0.9483472311254912; 282; 742; 394; 630; 555; 469; 532; 492; 0.532958984375
143; -0.9483472311254912; -0.6517962709121727; 1.2448981913388106; 417; 607; 451; 573; 271; 753; 294; 730; 0.502685546875
144; -0.9483472311254912; -0.6517962709121727; -2.8450416933764746; 722; 302; 764; 260; 113; 911; 39; 985; 0.5283203125
145; -0.9483472311254912; -0.6517962709121727; -0.6517962709121727; 683; 341; 823; 201; 339; 685; 190; 834; 0.570556640625
146; -0.9483472311254912; -0.6517962709121727; 1.5414491515521291; 342; 682; 521; 503; 600; 424; 492; 532; 0.570068359375
147; -0.9483472311254912; -0.6517962709121727; -2.548490733163156; 311; 713; 349; 675; 448; 576; 479; 545; 0.501708984375
148; -0.9483472311254912; -0.6517962709121727; -0.3552453106988538; 614; 410; 556; 468; 139; 885; 115; 909; 0.49169921875
149; -0.9483472311254912; -0.6517962709121727; 1.8380001117654476; 767; 257; 831; 193; 204; 820; 63; 961; 0.550048828125
150; -0.9483472311254912; -0.6517962709121727; -2.2519397729498363; 521; 503; 693; 331; 510; 514; 380; 644; 0.57373046875
151; -0.9483472311254912; 1.5414491515521291; -3.141592653589793; 518; 506; 314; 710; 517; 507; 622; 402; 0.424560546875
152; -0.9483472311254912; 1.5414491515521291; -0.9483472311254912; 244; 780; 178; 846; 552; 472; 593; 431; 0.473876953125
153; -0.9483472311254912; 1.5414491515521291; 1.2448981913388106; 438; 586; 430; 594; 261; 763; 278; 746; 0.493896484375
154; -0.9483472311254912; 1.5414491515521291; -2.8450416933764746; 722; 302; 673; 351; 85; 939; 204; 820; 0.458984375
155; -0.9483472311254912; 1.5414491515521291; -0.6517962709121727; 671; 353; 525; 499; 349; 675; 487; 537; 0.4306640625
156; -0.9483472311254912; 1.5414491515521291; 1.5414491515521291; 350; 674; 197; 827; 593; 431; 682; 342; 0.44091796875
157; -0.9483472311254912; 1.5414491515521291; -2.548490733163156; 320; 704; 243; 781; 440; 584; 423; 601; 0.4853515625
158; -0.9483472311254912; 1.5414491515521291; -0.3552453106988538; 602; 422; 590; 434; 110; 914; 180; 844; 0.47998046875
159; -0.9483472311254912; 1.5414491515521291; 1.8380001117654476; 763; 261; 635; 389; 185; 839; 309; 715; 0.4384765625
160; -0.9483472311254912; 1.5414491515521291; -2.2519397729498363; 519; 505; 331; 693; 494; 530; 641; 383; 0.418212890625
161; -0.9483472311254912; -2.548490733163156; -3.141592653589793; 511; 513; 74; 950; 509; 515; 826; 198; 0.31591796875
162; -0.9483472311254912; -2.548490733163156; -0.9483472311254912; 261; 763; 134; 890; 608; 416; 592; 432; 0.472900390625
163; -0.9483472311254912; -2.548490733163156; 1.2448981913388106; 420; 604; 450; 574; 252; 772; 371; 653; 0.478271484375
164; -0.9483472311254912; -2.548490733163156; -2.8450416933764746; 717; 307; 525; 499; 100; 924; 491; 533; 0.357666015625
165; -0.9483472311254912; -2.548490733163156; -0.6517962709121727; 660; 364; 212; 812; 356; 668; 812; 212; 0.279296875
166; -0.9483472311254912; -2.548490733163156; 1.5414491515521291; 364; 660; 39; 985; 584; 440; 770; 254; 0.375244140625
167; -0.9483472311254912; -2.548490733163156; -2.548490733163156; 281; 743; 292; 732; 441; 583; 476; 548; 0.494140625
168; -0.9483472311254912; -2.548490733163156; -0.3552453106988538; 601; 423; 562; 462; 111; 913; 402; 622; 0.41943359375
169; -0.9483472311254912; -2.548490733163156; 1.8380001117654476; 760; 264; 385; 639; 178; 846; 682; 342; 0.285400390625
170; -0.9483472311254912; -2.548490733163156; -2.2519397729498363; 516; 508; 56; 968; 525; 499; 854; 170; 0.307373046875
171; -0.9483472311254912; -0.3552453106988538; -3.141592653589793; 511; 513; 7; 1017; 506; 518; 895; 129; 0.281982421875
172; -0.9483472311254912; -0.3552453106988538; -0.9483472311254912; 257; 767; 308; 716; 564; 460; 545; 479; 0.51708984375
173; -0.9483472311254912; -0.3552453106988538; 1.2448981913388106; 400; 624; 511; 513; 267; 757; 513; 511; 0.467041015625
174; -0.9483472311254912; -0.3552453106988538; -2.8450416933764746; 742; 282; 322; 702; 100; 924; 811; 213; 0.223876953125
175; -0.9483472311254912; -0.3552453106988538; -0.6517962709121727; 678; 346; 37; 987; 357; 667; 973; 51; 0.193115234375
176; -0.9483472311254912; -0.3552453106988538; 1.5414491515521291; 343; 681; 104; 920; 609; 415; 739; 285; 0.409912109375
177; -0.9483472311254912; -0.3552453106988538; -2.548490733163156; 280; 744; 449; 575; 431; 593; 455; 569; 0.535400390625
178; -0.9483472311254912; -0.3552453106988538; -0.3552453106988538; 627; 397; 465; 559; 131; 893; 642; 382; 0.335693359375
179; -0.9483472311254912; -0.3552453106988538; 1.8380001117654476; 763; 261; 152; 872; 163; 861; 945; 79; 0.159912109375
180; -0.9483472311254912; -0.3552453106988538; -2.2519397729498363; 522; 502; 6; 1018; 551; 473; 890; 134; 0.291259765625
181; -0.9483472311254912; 1.8380001117654476; -3.141592653589793; 507; 517; 181; 843; 510; 514; 771; 253; 0.356689453125
182; -0.9483472311254912; 1.8380001117654476; -0.9483472311254912; 250; 774; 507; 517; 541; 483; 518; 506; 0.568359375
183; -0.9483472311254912; 1.8380001117654476; 1.2448981913388106; 424; 600; 551; 473; 225; 799; 695; 329; 0.416259765625
184; -0.9483472311254912; 1.8380001117654476; -2.8450416933764746; 742; 282; 269; 755; 94; 930; 987; 37; 0.16650390625
185; -0.9483472311254912; 1.8380001117654476; -0.6517962709121727; 689; 335; 86; 938; 348; 676; 918; 106; 0.213623046875
186; -0.9483472311254912; 1.8380001117654476; 1.5414491515521291; 347; 677; 337; 687; 591; 433; 601; 423; 0.4951171875
187; -0.9483472311254912; 1.8380001117654476; -2.548490733163156; 296; 728; 594; 430; 465; 559; 563; 461; 0.548828125
188; -0.9483472311254912; 1.8380001117654476; -0.3552453106988538; 597; 427; 410; 614; 121; 903; 825; 199; 0.282470703125
189; -0.9483472311254912; 1.8380001117654476; 1.8380001117654476; 769; 255; 126; 898; 196; 828; 1013; 11; 0.1435546875
190; -0.9483472311254912; 1.8380001117654476; -2.2519397729498363; 507; 517; 191; 833; 507; 517; 749; 275; 0.36376953125
191; -0.9483472311254912; -2.2519397729498363; -3.141592653589793; 524; 500; 528; 496; 521; 503; 530; 494; 0.498779296875
192; -0.9483472311254912; -2.2519397729498363; -0.9483472311254912; 262; 762; 755; 269; 572; 452; 467; 557; 0.64599609375
193; -0.9483472311254912; -2.2519397729498363; 1.2448981913388106; 460; 564; 601; 423; 247; 777; 756; 268; 0.41015625
194; -0.9483472311254912; -2.2519397729498363; -2.8450416933764746; 736; 288; 276; 748; 113; 911; 945; 79; 0.1845703125
195; -0.9483472311254912; -2.2519397729498363; -0.6517962709121727; 699; 325; 312; 712; 360; 664; 699; 325; 0.32275390625
196; -0.9483472311254912; -2.2519397729498363; 1.5414491515521291; 350; 674; 642; 382; 591; 433; 430; 594; 0.610595703125
197; -0.9483472311254912; -2.2519397729498363; -2.548490733163156; 274; 750; 724; 300; 431; 593; 592; 432; 0.570556640625
198; -0.9483472311254912; -2.2519397729498363; -0.3552453106988538; 609; 415; 446; 578; 119; 905; 898; 126; 0.27001953125
199; -0.9483472311254912; -2.2519397729498363; 1.8380001117654476; 769; 255; 262; 762; 174; 850; 843; 181; 0.212890625
200; -0.9483472311254912; -2.2519397729498363; -2.2519397729498363; 516; 508; 506; 518; 541; 483; 519; 505; 0.5029296875
201; 1.2448981913388106; -3.141592653589793; -3.141592653589793; 501; 523; 505; 519; 546; 478; 510; 514; 0.509765625
202; 1.2448981913388106; -3.141592653589793; -0.9483472311254912; 270; 754; 742; 282; 361; 663; 664; 360; 0.541259765625
203; 1.2448981913388106; -3.141592653589793; 1.2448981913388106; 438; 586; 617; 407; 43; 981; 981; 43; 0.314697265625
204; 1.2448981913388106; -3.141592653589793; -2.8450416933764746; 738; 286; 298; 726; 93; 931; 920; 104; 0.190673828125
205; 1.2448981913388106; -3.141592653589793; -0.6517962709121727; 675; 349; 330; 694; 432; 592; 605; 419; 0.37353515625
206; 1.2448981913388106; -3.141592653589793; 1.5414491515521291; 350; 674; 683; 341; 475; 549; 545; 479; 0.564208984375
207; 1.2448981913388106; -3.141592653589793; -2.548490733163156; 273; 751; 745; 279; 170; 854; 842; 182; 0.451171875
208; 1.2448981913388106; -3.141592653589793; -0.3552453106988538; 582; 442; 427; 597; 8; 1016; 1017; 7; 0.2158203125
209; 1.2448981913388106; -3.141592653589793; 1.8380001117654476; 755; 269; 256; 768; 264; 760; 774; 250; 0.253662109375
210; 1.2448981913388106; -3.141592653589793; -2.2519397729498363; 534; 490; 487; 537; 522; 502; 484; 540; 0.497802734375
211; 1.2448981913388106; -0.9483472311254912; -3.141592653589793; 532; 492; 844; 180; 516; 508; 455; 569; 0.591064453125
212; 1.2448981913388106; -0.9483472311254912; -0.9483472311254912; 252; 772; 903; 121; 348; 676; 773; 251; 0.55517578125
213; 1.2448981913388106; -0.9483472311254912; 1.2448981913388106; 395; 629; 574; 450; 48; 976; 930; 94; 0.328369140625
214; 1.2448981913388106; -0.9483472311254912; -2.8450416933764746; 722; 302; 411; 613; 104; 920; 664; 360; 0.287353515625
215; 1.2448981913388106; -0.9483472311254912; -0.6517962709121727; 671; 353; 689; 335; 440; 584; 455; 569; 0.500732421875
216; 1.2448981913388106; -0.9483472311254912; 1.5414491515521291; 353; 671; 927; 97; 491; 533; 605; 419; 0.6123046875
217; 1.2448981913388106; -0.9483472311254912; -2.548490733163156; 295; 729; 783; 241; 174; 850; 891; 133; 0.444091796875
